"Word","x"
"own",105
"other",89
"first",80
"such",69
"many",67
"same",64
"miserable",63
"few",62
"old",51
"human",50
"little",49
"great",45
"happy",45
"dear",44
"several",44
"new",42
"poor",38
"gentle",34
"strange",31
"last",30
